week,title,description
1,Общие сведения о физике,"Введение в курс; измерения и теория размерностей; стандартная система единиц СИ и её эволюция; сравнение с другими системами единиц (СГС, планковские); формула размерностей; размерно-зависимые и размерно-независимые величины; пи‑теорема и её применение; примеры — свободное падение, давление как плотность энергии, безразмерные числа."
2,Кинематика материальной точки,"Введение в кинематику; системы отсчёта и относительность движения; описание положения через радиус-вектор и координаты; траектория и перемещение; средняя и мгновенная скорость; интегральная связь перемещения и скорости; ускорение как производная скорости и разложение на тангенциальную и нормальную составляющие; связь линейной и угловой скорости; радиус кривизны траектории: смысл и формула; типы движения (прямолинейное, равноускоренное, круговое, произвольное); сложение скоростей и переход между движущимися системами отсчёта."
3,Динамика материальной точки,"Введение в динамику; три закона Ньютона; инерциальные и неинерциальные системы отсчёта; масса и импульс как фундаментальные динамические величины; закон сохранения импульса для изолированной системы; второй закон как количественная связь силы, массы и ускорения; третий закон и природа внутренних сил; интегральная форма изменения импульса и понятие ударного импульса; принцип относительности Галилея и правило сложения скоростей; аддитивность массы; задача двух тел и понятие приведённой массы; основы реактивного движения (уравнение Мещерского и формула Циолковского); центр масс и теорема о его движении."
4,Работа и энергия,"Механическая работа и её вычисление по траектории; мощность как скорость выполнения работы; теорема о кинетической энергии; теорема Кёнига и разложение полной кинетической энергии на поступательную и относительную; консервативные силы и критерий «работа по замкнутому контуру равна нулю»; потенциальная энергия как функция положения и связь работы с её уменьшением; сила как минус градиент потенциальной энергии; классификация сил (консервативные, гироскопические, диссипативные); закон сохранения механической энергии и условия его справедливости; общий закон сохранения энергии; типы столкновений (абсолютно упругое, абсолютно неупругое, частично упругое); сохранение импульса и энергии при упругом столкновении, одномерные решения; переход в систему центра масс и максимальный угол рассеяния тяжёлой частицы на лёгкой; пороговая энергия для неупругой реакции."
5,Момент импульса материальной точки. Закон всемирного тяготения,"Понятие момента импульса материальной точки; векторное произведение радиус-вектора и импульса, его свойства; уравнение моментов и закон сохранения момента импульса; центральные силы, плоская траектория и постоянная секториальная скорость (второй закон Кеплера); три закона Кеплера; закон всемирного тяготения как универсальная инверсно-квадратичная центральная сила; эффективный потенциал в гравитационном поле и классификация орбит (эллипс, парабола, гипербола, окружность); параметры орбиты, третий закон Кеплера; космические скорости как следствие закона сохранения энергии."
6,Статика и динамика твердого тела,"Вращение твёрдого тела вокруг неподвижной оси; уравнение моментов и момент инерции как мера распределения массы; вычисление моментов инерции типовых тел и использование теоремы Гюйгенса–Штейнера; тензор инерции, главные оси и эллипсоид инерции; плоское движение: мгновенная ось, разложение на поступательное и вращательное движения; уравнение моментов при плоском движении и для движущихся осей; произвольное движение по Эйлеру; динамика симметричного тела — гироскопы и волчки: свободная и вынужденная прецессия."
7,Механические колебания и волны,"Понятие колебаний; точка равновесия и возвращающая сила; условия существования свободных колебаний; гармонические колебания, амплитуда, фаза, циклическая частота; динамический и энергетический методы определения собственной частоты; фазовый портрет гармонического осциллятора; примеры свободных систем — пружинный маятник, математический маятник (малые углы), LC-контур, физический маятник; затухающие колебания: вязкое трение, коэффициент затухания, логарифмический декремент, добротность; апериодический, критический и колебательный режимы."
8,Элементы теории упругости и гидродинамики,"Деформации твёрдых тел: упругие, пластические, текучесть; закон Гука в интегральной и локальной формах; напряжения σ и относительные деформации ε; модули Юнга E, объёмной упругости K и сдвига; энергия упругой деформации; всестороннее сжатие, сдвиг, кручение, изгиб. Гидростатика: давление, закон Паскаля, распределение давления в жидкости, сила Архимеда, эквипотенциальность свободной поверхности. Идеальная жидкость: линии тока, стационарный несжимаемый поток, уравнение непрерывности, закон Бернулли и его приложения. Вязкая жидкость: динамическая и кинематическая вязкости, касательные напряжения, профиль Пуазёйля и расход, число Рейнольдса и граница ламинарности."
9,Основные понятия молекулярной физики. Термодинамические процессы. Первое начало термодинамики,"Основания термодинамики и необходимость макроскопического подхода (универсальная газовая постоянная, постоянная Больцмана, число Авогадро); термодинамическая система, макроскопические и микроскопические параметры и типы систем (изолированные, закрытые, открытые); «минус первое» начало, стремление системы к равновесию; нулевое начало и определение температуры через тепловое равновесие; идеальный газ: уравнение состояния, внутренняя энергия и её связь с температурой; первое начало термодинамики (баланс внутренней энергии, теплоты и работы); равновесные vs. неравновесные процессы, время релаксации; изотермический, изохорный и изобарный процессы идеального газа; теплоёмкости при постоянном объёме и давлении, их связь с числом степеней свободы для одно- и многоатомных газов; политропы и адиабаты; пределы применимости модели идеального газа и переход к реальным газам."
10,Второе начало термодинамики. Энтропия,"Классические формулировки второго начала (Клаузиус; Кельвин–Томсон) и их эквивалентность;энтропия как функция состояния: равенство Клаузиуса для обратимого цикла и неравенство Клаузиуса для необратимых процессов; тепловые машины: схема «нагреватель–рабочее тело–холодильник», коэффициент полезного действия и его предел; цикл Карно: теоремы Карно, выражение идеального КПД через температуры резервуаров, представление в координатах T–S; обратные циклы: холодильная машина и тепловой насос; коэффициенты охлаждения и теплонасоса; необратимые процессы и рост энтропии: теплопередача между резервуарами, свободное расширение газа, смешение газов; обобщённая формулировка «ΔS ≥ 0» для изолированной системы."
